shape,categories,units_per_package,description,nom_du_produit,suitable_for,temperature_range,cover_available,type,currency,ideal_for,material,color,width,dimension,product_code,disposable,length,food_contact_safe,compartiments,price,recyclable
,"Emballages, Papier aluminium alimentaire",,"Papier aluminium alimentaire de qualite professionnelle, parfait pour envelopper et proteger tous vos aliments aussi bien dans le refrigerateur que pour les cuissons au four traditionnel. Conditionne dans une boite distributrice tres fonctionnelle\nLongueur : 61 m\nLargeur : 30 cm\nLe prix est pour 1 Unite.",Papier aluminium FALCON 61M X 30CM,['emballage alimentaire'],,True,,XAF,,Papier aluminium,,,61M X 30CM,PAF200SQ,True,,True,0,"XAF 7500,00",True
,"Emballages, Papier aluminium alimentaire",,"Papier aluminium alimentaire de qualite professionnelle, parfait pour envelopper et proteger tous vos aliments aussi bien dans le refrigerateur que pour les cuissons au four traditionnel. Conditionne dans une boite distributrice tres fonctionnelle\nLongueur : 7,74 m\nLargeur : 30 cm\nLe prix est pour 1 Unite.","Papier aluminium FALCON 1,8KG X 30CM",['emballage alimentaire'],,True,,XAF,,Papier aluminium,,,"1,8KG X 30CM",PAF18KG,True,,True,0,"XAF 11000,00",True
,"Emballages, Papier aluminium alimentaire",,"Papier aluminium alimentaire de qualite professionnelle, parfait pour envelopper et proteger tous vos aliments aussi bien dans le refrigerateur que pour les cuissons au four traditionnel. Conditionne dans une boite distributrice tres fonctionnelle\nLongueur : 7,74 m\nLargeur : 45 cm\nLe prix est pour 1 Unite.","Papier aluminium FALCON 7,74M X 45CM",['emballage alimentaire'],,True,,XAF,,Papier aluminium,,,"7,74M X 45CM",PAF37-5SQ,True,,True,0,"XAF 3500,00",True
,"Emballages, Papier aluminium alimentaire",,"Papier aluminium alimentaire de qualite professionnelle, parfait pour envelopper et proteger tous vos aliments aussi bien dans le refrigerateur que pour les cuissons au four traditionnel. Conditionne dans une boite distributrice tres fonctionnelle\nPoids : 1000 g\nLargeur : 30 cm\nLe prix est pour 1 Unite.",Papier aluminium FALCON 1000g X 30CM,['emballage alimentaire'],,True,,XAF,,Papier aluminium,,,1000g X 30CM,PAF1000GM,True,,True,0,"XAF 7000,00",True
,"Emballages, Papier aluminium alimentaire",,"Papier aluminium alimentaire de qualite professionnelle, parfait pour envelopper et proteger tous vos aliments aussi bien dans le refrigerateur que pour les cuissons au four traditionnel. Conditionne dans une boite distributrice tres fonctionnelle\nPoids : 1500 g\nLargeur : 45 cm\nLe prix est pour 1 Unite.","Papier aluminium FALCON 1,5KG X 45CM",['emballage alimentaire'],,True,,XAF,,Papier aluminium,,,"1,5KG X 45CM",PAF112,True,,True,0,"XAF 12000,00",True
,"Emballages, Papier aluminium alimentaire",,"Papier aluminium alimentaire de qualite professionnelle, parfait pour envelopper et proteger tous vos aliments aussi bien dans le refrigerateur que pour les cuissons au four traditionnel. Conditionne dans une boite distributrice tres fonctionnelle\nPoids : 2500 g\nLargeur : 45 cm\nLe prix est pour 1 Unite.","Papier aluminium FALCON 2,5KG X 45CM",['emballage alimentaire'],,True,,XAF,,Papier aluminium,,,"2,5KG X 45CM",PAF111,True,,True,0,"XAF 15000,00",True
,"Emballages, Papier aluminium alimentaire",,"Papier aluminium alimentaire de qualite professionnelle, parfait pour envelopper et proteger tous vos aliments aussi bien dans le refrigerateur que pour les cuissons au four traditionnel. Conditionne dans une boite distributrice tres fonctionnelle\nPoids : 5200 g\nLargeur : 45 cm\nLe prix est pour 1 Unite.","Papier aluminium FALCON 5,2KG X 45CM",['emballage alimentaire'],,True,,XAF,,Papier aluminium,,,"5,2KG X 45CM",PAF52KG,True,,True,0,"XAF 30000,00",True
Bobine,"Emballages, Film alimentaire etirable",,"Film alimentaire etirable PVC\nPermet de conserver les aliments frais.\nFacile, pratique et propre\nLe prix est pour 1 Unite.\nDimension : plusieurs",Rouleau papier en film DIAMONDPACK,['conservation alimentaire'],,False,Film,XAF,,PE (Polyethylene),Transparent,30cm,Varies,RPF001,True,,True,0,Varies,False
Bobine,"Emballages, Film alimentaire etirable",1,"Film alimentaire etirable PVC\nPermet de conserver les aliments frais.\nFacile, pratique et propre\nLe prix est pour 1 Unite.\nLongueur : 30m\nLargeur : 30cm",Film alimentaire etirable PVC 30m,['conservation alimentaire'],,False,Film,XAF,,PE (Polyethylene),Transparent,30cm,30m,PF30,True,,True,0,"XAF 1000,00",False
Bobine,"Emballages, Film alimentaire etirable",1,"Film alimentaire etirable PVC\nPermet de conserver les aliments frais.\nFacile, pratique et propre\nLe prix est pour 1 Unite.\nLongueur : 50m\nLargeur : 30cm",Film alimentaire etirable PVC 50m,['conservation alimentaire'],,False,Film,XAF,,PE (Polyethylene),Transparent,30cm,50m,PF50,True,,True,0,"XAF 1200,00",False
Bobine,"Emballages, Film alimentaire etirable",1,"Film alimentaire etirable PVC\nPermet de conserver les aliments frais.\nFacile, pratique et propre\nLe prix est pour 1 Unite.\nLongueur : 100m\nLargeur : 30cm",Film alimentaire etirable PVC 100m,['conservation alimentaire'],,False,Film,XAF,,PE (Polyethylene),Transparent,30cm,100m,PF100,True,,True,0,"XAF 2000,00",False
Bobine,"Emballages, Film alimentaire etirable",1,"Film alimentaire etirable PVC\nPermet de conserver les aliments frais.\nFacile, pratique et propre\nLe prix est pour 1 Unite.\nLongueur : 300SQ\nLargeur : 30cm",Film alimentaire etirable PVC 300SQ,['conservation alimentaire'],,False,Film,XAF,,PE (Polyethylene),Transparent,30cm,300SQ,PF300S,True,,True,0,"XAF 2500,00",False
Bobine,"Emballages, Film alimentaire etirable",1 piece,"Film alimentaire etirable PVC\nPermet de conserver les aliments frais.\nFacile, pratique et propre\nLongueur : 300cm\nLargeur : 30 cm\nLe prix est pour 1 Unite.",Papier film FALCON 300CM X 30CM,['conservation alimentaire'],,False,Film,XAF,,PE (Polyethylene),Transparent,,300cm X 30cm,PF011,True,,True,0,"XAF 6000,00",False
Bobine,"Emballages, Film alimentaire etirable",1 piece,"Film alimentaire etirable PVC\nPermet de conserver les aliments frais.\nFacile, pratique et propre\nLongueur : 300 cm\nLargeur : 45 cm\nLe prix est pour 1 Unite.",Papier film FALCON 300CM X 45CM,['conservation alimentaire'],,False,Film,XAF,,PE (Polyethylene),Transparent,,300cm X 45cm,PF012,True,,True,0,"XAF 8000,00",False
,"Emballages, Papier cuisson",1 piece,"Le papier sulfurise FALCON est un type de papier antiadhesif de haute qualite utilise pour la cuisson et la cuisson dans les fours.\nTapisser les plaques a p\xc3\xa2tisserie et les moules a g\xc3\xa2teaux pour emp\xc3\xaacher les aliments de coller\nEmballer les aliments avant la cuisson, comme les viandes et les legumes\nCreer une barriere entre les aliments et les casseroles pour reduire le temps de nettoyage\nDimension : 10M X 30CM",Papier cuisson FALCON 10M X 30CM,['cuisson au four'],,False,,XAF,,Papier sulfurise,,,10M X 30CM,PCF010,True,,True,0,"XAF 1500,00",False
,"Emballages, Papier cuisson",1 piece,"Le papier sulfurise est un type de papier antiadhesif utilise pour la cuisson et la cuisson dans les fours.\nTapisser les plaques a p\xc3\xa2tisserie et les moules a g\xc3\xa2teaux pour emp\xc3\xaacher les aliments de coller\nEmballer les aliments avant la cuisson, comme les viandes et les legumes\nCreer une barriere entre les aliments et les casseroles pour reduire le temps de nettoyage\nDimension : 20CM X 30CM",Papier cuisson 20M X 30CM,['cuisson au four'],,False,,XAF,,Papier sulfurise,,,20CM X 30CM,PCF020,True,,True,0,"XAF 1500,00",False
,"Emballages, Emballages cadeaux",,"Emballez vos cadeaux avec go\xc3\xbbt : ces bo\xc3\xaetes ornees d'une superbe boucle, mettent vos presents en valeur tout en faisant chic. Choisissez le paquet-cadeau le plus adapte parmi les trois tailles differentes. Les paquets sont en materiaux 100 % ecologiques !",Gift BOX U en carton,['emballage de cadeaux'],,False,Bo\xc3\xaetes a dragees,XAF,,Carton,,,Varies,BDR001,False,,False,0,Varies,False
Bobine,"Emballages, Film alimentaire etirable",1 piece,"Facile d\xe2\u20ac\u2122utilisation Adherence optimale pour le bon maintien de vos emballages etirable, elastique, resistant et solide, il s\xe2\u20ac\u2122ajuste aux formes Impermeable, il protege de l\xe2\u20ac\u2122eau et des saletes\nEpaisseur : 17 microns\nLargeur : 50 cm",Rouleau film etirable transparent 2KG (17microns),['conservation alimentaire'],,False,Film,XAF,,PE (Polyethylene),Transparent,50 cm,,PF2K,True,,True,0,"XAF 7500,00",False
,"Emballages, Emballages cadeaux",20 pieces,Bo\xc3\xaetes a dragees en carton\nPaquet de 20 pieces,Boites a dragees en carton,['emballage de cadeaux'],,False,Bo\xc3\xaetes a dragees,XAF,,Carton,,,,BDR001,False,,False,0,"XAF 3750,00",False
